Date,Open,High,Low,Close,Volume
2026-07-29,511.44000244140625,513.3599853515625,507.20001220703125,509.1600036621094,5057500
2026-07-30,505.9800109863281,509.9100036621094,501.2699890136719,509.67999267578125,4055100
2026-07-31,508.989990234375,513.030029296875,506.70001220703125,511.5400085449219,3939800
2026-08-03,514.9299926757812,520.6699829101562,510.8299865722656,513.1400146484375,4249000
2026-08-04,512.0700073242188,517.77001953125,508.80999755859375,517.219970703125,4771300
2026-08-05,519.0,519.77001953125,512.2000122070312,518.8499755859375,3749400
2026-08-06,524.1099853515625,525.4400024414062,517.2100219726562,524.6099853515625,4352800
2026-08-07,520.260009765625,521.989990234375,517.4299926757812,521.7999877929688,3645100
2026-08-10,524.5999755859375,537.739990234375,523.0,529.4199829101562,6094800
2026-08-11,528.760009765625,530.2999877929688,515.6500244140625,516.3800048828125,4718600
2026-08-12,513.97998046875,514.3800048828125,507.9599914550781,510.0,4599100
2026-08-13,511.2900085449219,512.010009765625,505.55999755859375,506.92999267578125,4713400
2026-08-14,507.239990234375,509.1700134277344,503.7699890136719,504.0299987792969,3969500
2026-08-17,504.45001220703125,505.30999755859375,498.07000732421875,498.2300109863281,4789800
2026-08-18,501.0400085449219,504.5,499.6000061035156,502.9599914550781,3380700
2026-08-19,503.4100036621094,507.07000732421875,499.4100036621094,499.6199951171875,3562300
2026-08-20,499.6499938964844,500.44000244140625,496.4800109863281,496.8599853515625,3288700
2026-08-21,498.5,501.0,495.67999267578125,495.82000732421875,4645800
2026-08-24,498.1300048828125,504.4599914550781,498.1099853515625,504.32000732421875,3194900
2026-08-25,503.95001220703125,504.75,501.1600036621094,504.32000732421875,3032800
2026-08-26,505.92999267578125,506.70001220703125,503.6499938964844,504.9100036621094,3002200
2026-08-27,500.5,505.3999938964844,499.2200012207031,503.70001220703125,6302000
2026-08-28,504.8999938964844,506.5799865722656,502.94000244140625,505.0,4851200
2026-08-31,504.05999755859375,505.29998779296875,502.20001220703125,504.0299987792969,5127900
2026-09-01,506.0,506.75,501.2699890136719,502.3299865722656,4839100
2026-09-02,503.4599914550781,508.92999267578125,502.6000061035156,505.239990234375,3298400
2026-09-03,506.6000061035156,508.95001220703125,505.2099914550781,508.1300048828125,3847300
2026-09-04,505.30999755859375,507.5,504.29998779296875,506.0299987792969,3277400
2026-09-08,503.0,507.29998779296875,500.70001220703125,505.8299865722656,4398000
2026-09-09,504.1000061035156,509.510009765625,501.2099914550781,506.7200012207031,3359600
2026-09-10,508.739990234375,510.5799865722656,504.739990234375,507.0,3805200
2026-09-11,508.8500061035156,510.6300048828125,506.0,510.3699951171875,3587200
2026-09-14,512.7999877929688,516.4500122070312,510.5,514.9500122070312,3964400
2026-09-15,515.0,516.8699951171875,512.4099731445312,516.760009765625,3761300
2026-09-16,516.3599853515625,523.739990234375,515.2999877929688,519.7999877929688,5254600
2026-09-17,518.9500122070312,520.0,508.7799987792969,509.20001220703125,5993400
2026-09-18,507.1600036621094,512.0700073242188,506.1300048828125,509.7699890136719,12481100
2026-09-21,507.92999267578125,510.5,502.010009765625,502.010009765625,4776841
