Date,Open,High,Low,Close,Volume
2022-09-19,61.86311321020255,63.05550120364116,61.82417715239597,62.997100830078125,15683000
2022-09-20,62.40822270219025,63.02145652173386,62.08214147056919,62.62723159790039,12109400
2022-09-21,62.9533191461962,63.87802665680493,61.63925465565316,61.64898681640625,16808800
2022-09-22,61.303433410010335,61.692786650465266,60.67560325917929,61.02115249633789,16033800
2022-09-23,60.466325341432395,60.55879756966226,59.42967765054342,60.22298049926758,19396200
2022-09-26,60.03804078686044,61.04548830219562,59.63408745077519,59.80442810058594,17193600
2022-09-27,60.59773578602354,61.16716184574126,59.32747536779307,59.882301330566406,18714800
2022-09-28,59.483212036698575,60.80700853265014,59.02572255888215,60.514991760253906,18933400
2022-09-29,59.64868831048858,59.784960832080394,58.242155377683744,58.9381217956543,31096600
2022-09-30,58.699641090534534,59.570816040882434,57.701925786963294,57.808998107910156,19513000
2022-10-03,58.26649632769215,59.95531032135775,58.042619492636355,59.60002517700195,17332200
2022-10-04,60.80701598641176,61.668455173763384,60.7632119799238,61.600318908691406,17779000
2022-10-05,60.76807789446599,62.252483005162524,60.41279277000248,61.804725646972656,14600400
2022-10-06,61.64412936662859,62.32062786432014,61.22557585844051,61.29857635498047,14348200
2022-10-07,60.04777976527422,60.05264770243519,58.46117386042553,58.77751922607422,15749000
2022-10-10,58.77751892635403,58.86025900507609,57.21038106499229,57.7895393371582,16706200
2022-10-11,57.458584965289724,57.85767037195497,56.480341338836325,56.90375900268555,21044800
2022-10-12,56.94756254905787,57.336912079202754,56.6312135030261,56.72854995727539,14111600
2022-10-13,55.195476677203466,58.79697722685308,54.98133203644577,58.49036407470703,38114600
2022-10-14,58.9673311990478,59.0938678590935,56.75289137732314,56.84536361694336,22484000
2022-10-17,58.23728731588602,58.86998165488411,58.08154305787697,58.57796859741211,14599600
2022-10-18,60.096449443426614,60.31059039950513,58.32976334860409,59.074398040771484,13998000
2022-10-19,58.55849970686672,59.488078739209065,58.310286940737214,58.904048919677734,10984000
2022-10-20,58.92352169879056,60.218118080208285,58.64610871893644,58.9381217956543,12429600
2022-10-21,58.79211359674217,60.641532114082445,58.59256904981458,60.514991760253906,17126000
2022-10-24,60.77294973071123,61.57598483859482,60.033179239729456,61.352108001708984,13385200
2022-10-25,61.502988075412226,62.5688361555019,61.502988075412226,62.5250358581543,10265000
2022-10-26,60.948154034478094,62.422819548947466,60.85081386456163,61.133094787597656,15169400
